molecule,ppm,intensity
Catechin,3.96839351951898,0.4631593277982684
Catechin,2.8337503495144,0.3999673943238208
Catechin,2.50306643213379,0.40560178133391717
Cellobiose,3.94426303240201,0.6296728243253741
Cellobiose,3.88066273602185,0.3941121680504717
Cellobiose,3.82897603982817,0.6247496379089578
Cellobiose,3.75511171867195,0.5483010050128605
Cellobiose,3.6445901661727,1.0
Cellobiose,3.5974856238969,0.5934415756579724
Cellobiose,3.50804197941989,0.8435051388957624
Cellobiose,3.4319782243831,0.6214870091285108
Cellobiose,3.33337027207033,0.5502179748589873
Cellobiose,3.30056205001832,0.4051431175717564
Cellobiose,2.23585276565986,0.8033604406876214
cis-Jasmone,2.86204350823554,0.43420204912286847
cis-Jasmone,2.48221439125168,0.6073494360903308
cis-Jasmone,2.24997776300732,0.5942117815448783
cis-Jasmone,2.13508174692853,0.483281983467434
cis-Jasmone,2.05257662899961,1.0
cis-Jasmone,0.948841495817217,0.6500054309137253
Citral,0.150389608575691,0.8786213438024122
Citral,0.142737678673702,0.29926166523291586
Citral,0.127621981080428,1.0
Citronellal,0.0585324958080994,0.36588527145013244
Citronellal,0.0531379773708224,0.9845759860633038
Citronellal,0.0517802791666278,1.0
Citronellal,0.0457794603862562,0.27789559897791455
Citronellal,0.0404937650874833,0.7605260630675771
Cotinine,8.47372668174212,0.41852062444879756
Cotinine,7.39612389943248,0.3387979866116826
Cotinine,2.64046472966096,1.0
Cotinine,2.58847030387504,0.4781758158569287
D-glucose,5.20784385453298,0.6238334801642768
D-glucose,4.03155559653487,0.4072828798926199
D-glucose,3.81129529976842,0.2715472082643351
D-glucose,3.73972672613432,1.0
D-glucose,3.521389167167,0.7737524924498047
D-glucose,3.38637024616176,0.30270306683781917
D-Linalool 3-glucoside,4.12220293348321,0.3597082179575124
D-Linalool 3-glucoside,3.85111386335991,0.3660154539910104
D-Linalool 3-glucoside,2.11007688817874,0.38092310814303043
D-Linalool 3-glucoside,1.61083720584765,1.0
D-Linalool 3-glucoside,1.28954645607188,0.40860749980787076
D-Maltose,3.91435808300368,0.27339975686217066
D-Maltose,3.83832423757471,0.5704454330622998
D-Maltose,3.76412253299945,0.9175297846694446
D-Maltose,3.69230261153401,0.6948871977879126
D-Maltose,3.62946018025175,0.5048045423380116
D-Maltose,3.5785266645186,1.0
D-Maltose,3.41473327219692,0.4718836906978884
D-Maltose,3.26797878981473,0.303027382557586
Daidzein,8.28476465503883,0.4167630216754293
Daidzein,7.95631493363662,0.36147188636933525
Daidzein,7.37984561773166,0.9991675505898499
Daidzein,6.92567709239762,0.3620644217900731
Daidzein,6.86094846437494,0.5865856529369815
Daidzein,6.80647387643506,1.0
Deoxyinosine,8.32963294371692,0.8729461772513678
Deoxyinosine,8.21727603449703,1.0
Deoxyinosine,6.49526435077608,0.6594263777292947
Deoxyinosine,4.17957562143808,0.8345165998985709
Deoxyinosine,3.84745372991042,0.7368194639710105
Deoxyinosine,3.78660137450911,0.6907633379912409
Deoxyinosine,2.84522276805985,0.5188948181815737
Deoxyinosine,2.60547915099683,0.5882179042266819
Diethylthiophosphate,3.96719070191488,1.0
Diethylthiophosphate,1.25887466567101,0.8252703500913826
Eugenol,8.67984684091276,0.291379512888143
Eugenol,6.73549440652928,0.3775112810167848
Eugenol,6.58668101103269,0.25756084143728813
Eugenol,5.00993127640771,0.3674330795067698
Eugenol,3.74700363043774,1.0
Eugenol,3.24556054622851,0.6331735851139272
Fructose,4.11380272736355,0.3479731430619103
Fructose,4.01336191348363,0.669760784584205
Fructose,3.90137407173066,0.5930360552917109
Fructose,3.80863127643278,0.7866875221301501
Fructose,3.71387233341104,1.0
Fructose,3.57274199274035,0.6494031906905761
Furfuryl alcohol,7.51997141489818,0.5326432024257733
Furfuryl alcohol,6.37989435454185,0.5514338231812762
Furfuryl alcohol,6.27263971820171,0.44049194102616224
Furfuryl alcohol,4.4340324621942,1.0
Geraniol,3.95586717164242,0.363408558168075
Geraniol,1.96082930438126,0.32834821467070197
Geraniol,1.64609672614891,0.5817777298766255
Geraniol,1.57184428293487,1.0
Glutamine,3.7602298519536,0.5612580223250545
Glutamine,2.43999999847375,1.0
Glutamine,2.12948962759463,0.9163546615644228
Glutarylglycine,3.85038583122879,0.3276564249257237
Glutarylglycine,3.73887771496142,0.337609104600331
Glutarylglycine,2.41573351542107,1.0
Glutarylglycine,2.29034028889053,0.843993652582789
Glutarylglycine,1.86737846856604,0.8756365395904318
Glutathione,8.5828684095064,0.39350307546516455
Glutathione,8.3935651261426,0.2843986404008207
Glutathione,4.0095647166362,0.3076217735431582
Glutathione,3.85211711151737,1.0
Glutathione,3.79078577696527,0.6695503862034847
Glutathione,3.28017953199269,0.26984669811732853
Glutathione,2.52681104936015,0.5949695297208443
Glutathione,2.15625994149909,0.8002954514517813
Glycine,3.54545268756862,1.0
Indolelactic acid,7.73907430929807,0.5465057427027903
Indolelactic acid,7.50088851633546,0.4544984659025741
Indolelactic acid,7.24549329636403,1.0
Indolelactic acid,7.15688305516964,0.44198145403136607
Indolelactic acid,3.24521691186524,0.2908191012011052
Indolelactic acid,3.06982721958379,0.28179001639348994
Isoleucine,3.65681674433532,0.37408963247843335
Isoleucine,0.9958009057064,1.0
Isoleucine,0.924656648051865,0.8147797392545892
Isopentyl acetate,4.03367430782583,0.28411104051543284
Isopentyl acetate,1.98601769153816,0.6906292590299128
Isopentyl acetate,1.47448550594413,0.2511729710482634
Isopentyl acetate,0.896032443023284,1.0
Isovaleric acid,2.08107328292909,0.3967795120333978
Isovaleric acid,0.910677520669247,1.0
L-Fucose,3.79219161359032,0.5046591008738094
L-Fucose,3.63768180820637,0.40122215784371695
L-Fucose,3.45073044226139,0.3972104071953434
L-Fucose,1.24195503931725,1.0
L-Menthone,2.08485696178274,0.2881399205647213
L-Menthone,2.02557460711707,0.44551910215469726
L-Menthone,1.82817047766334,0.2775635090831442
L-Menthone,0.97224328478422,0.9139427381138602
L-Menthone,0.887903440002129,1.0
L-Menthone,0.812119811357352,0.9175171936463471
L-Xylulose,4.12238107100396,1.0
L-Xylulose,3.87393361111975,0.9616724559751797
L-Xylulose,3.7132865863279,0.4741127633881494
L-Xylulose,3.65368483111922,0.3905020655038777
Lactic acid,6.12877994387792,0.3082264478324116
Lactic acid,1.30209591623068,1.0
Leaf acetate,3.98786137329865,0.47263980545164186
Leaf acetate,2.33298701822146,0.4281599934739812
Leaf acetate,1.98924003715392,1.0
Leaf acetate,0.934471522802653,0.728342935796009
Leaf alcohol,5.36620854445419,0.3812698304358218
Leaf alcohol,4.49532415813154,0.3789988931340274
Leaf alcohol,3.40687146196267,0.6505527429025146
Leaf alcohol,2.18793889457985,0.6433481777006106
Leaf alcohol,2.02720724994626,0.5350644816740348
Leaf alcohol,0.93600439255743,1.0
Leucine,0.946197924672816,1.0
Linalyl acetate,5.07813063796634,0.4099509004678334
Linalyl acetate,1.9461784254238,1.0
Linalyl acetate,1.63970544306476,0.8187513450848781
Linalyl acetate,1.55812190738194,0.9122146412380876
Linalyl acetate,1.47989949114673,0.8651107135098661
m-Coumaric acid,7.33007449043017,0.8777655776491416
m-Coumaric acid,7.16621679121049,0.5987954902765772
m-Coumaric acid,7.08254866993296,1.0
m-Coumaric acid,6.9117338840425,0.5377768633641741
m-Coumaric acid,6.49321019642665,0.3946943842385354
m-Coumaric acid,6.45604470710643,0.25026455974122847
Methyl 2-aminobenzoate,7.68699600940274,0.26885027374127607
Methyl 2-aminobenzoate,7.35950809804607,0.25907410680789833
Methyl 2-aminobenzoate,3.77636736928846,1.0
Methyl eugenol,3.7324849608597,1.0
Methyl eugenol,3.30132701053408,0.34334191988043383
Methyl hippurate,7.85256983765748,0.4339422652050416
Methyl hippurate,7.47589464391853,0.4272098414333266
Methyl hippurate,4.85044104901837,0.8900357711290072
Methyl hippurate,4.12128585646677,0.6049901643043837
Methyl hippurate,3.74809330442175,0.7626860770004469
Methyl hippurate,3.30268176146037,1.0
Morphine,2.73871670353339,1.0
Morphine,1.8773681864598,0.3585954268271534
Nerolidol,5.08949005103299,0.3502016604708166
Nerolidol,2.00887129508531,0.5376695144668838
Nerolidol,1.94134334973077,0.43022753657613944
Nerolidol,1.64220371849959,0.7149085642460087
Nerolidol,1.54839793015641,1.0
Nerolidol,1.40692535685709,0.3233187572621032
Nerolidol,1.15423028532676,0.8801591924379858
Nicotine,8.64240524982348,0.48451787888494297
Nicotine,8.06611022696978,0.29820685246046125
Nicotine,7.60052837008416,0.357768950974319
Nicotine,3.81611773336738,0.32679301140507633
Nicotine,3.33550528110198,0.35012198952898704
Nicotine,2.76470925655795,1.0
Nicotine,2.59662320822562,0.33134828265060856
Nicotine,2.39645966975353,0.39812593461287676
Nicotine,2.30022719933426,0.7278564025570123
Nicotinuric acid,9.25379172385472,0.4321596173726105
Nicotinuric acid,9.0059035642545,0.8141962318695358
Nicotinuric acid,8.70144417768495,0.4372430082435471
Nicotinuric acid,8.2521697732101,0.4962870860586863
Nicotinuric acid,7.48470510183335,1.0
Nicotinuric acid,4.27607298576728,0.9380748334862008
Oxaloacetic acid,2.37912061203825,1.0
p-Cresol,7.13313357970134,0.46039416316771603
p-Cresol,6.82335586748415,0.29628191518367686
p-Cresol,2.25111015532693,1.0
